Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
MHW127-RG	0.136196	0.008408357	1542394.0	85179979.0	100.0	94.0205561684865	23.665313418309246	85179979.0	86722373	86722373	100.0
MHW128-RG	0.155426	0.007593899	1292387.0	96291267.0	100.0	95.45192504321291	19.526499739586974	96291267.0	97583654	97583654	100.0
MHW129-RG	0.179332	0.007556655	1485565.0	114546339.0	100.0	95.41993830112719	18.58921392502994	114546339.0	116031904	116031904	100.0
MHW130-RG	0.146772	0.008741654	1646897.0	91657740.0	100.0	94.26851240277145	26.241907120991637	91657740.0	93304637	93304637	100.0
MHW131-RG	0.164183	0.008438027	1853607.0	107929761.0	100.0	94.60951182871608	25.15218022209833	107929761.0	109783368	109783368	100.0
MHW132-RG	0.145892	0.008270223	1449305.0	88211015.0	100.0	94.87952269906428	23.459786739785272	88211015.0	89660320	89660320	100.0
MHW133-RG	0.154782	0.007902526	1438703.0	96969479.0	100.0	95.02648972673143	21.46723094181005	96969479.0	98408182	98408182	100.0
MHW134-RG	0.134861	0.007581586	1003551.0	79279049.0	100.0	95.74640331520627	19.087533454141205	79279049.0	80282600	80282600	100.0
MHW135-RG	0.170085	0.008105743	1558771.0	92837709.0	100.0	94.37876369827265	21.536988811302958	92837709.0	94396480	94396480	100.0
MHW136-RG	0.12297	0.007758141	1413356.0	91031747.0	100.0	93.00119440748512	16.05236247965229	91031747.0	92445103	92445103	100.0
MHW137-RG	0.118118	0.007585126	1668764.0	96389202.0	100.0	91.7739852229506	16.25160046454166	96389202.0	98057966	98057966	100.0
MHW138-RG	0.119365	0.007415399	1793060.0	107996121.0	100.0	91.9078213929554	15.98919372298566	107996121.0	109789181	109789181	100.0
MHW139-RG	0.119392	0.007496217	2931525.0	99060745.0	100.0	87.08661135144905	16.94956160485165	99060745.0	101992270	101992270	100.0
MHW140-RG	0.151688	0.007336795	2599308.0	86281287.0	100.0	82.55600777025963	16.3738227502332	86281287.0	88880595	88880595	100.0
MHW141-RG	0.14342	0.0074603	1607844.0	88366652.0	100.0	90.53837413688593	16.033263317478635	88366652.0	89974496	89974496	100.0
MHW142-RG	0.145272	0.007486202	2120883.0	89979830.0	100.0	87.42377930698468	16.258788219537646	89979830.0	92100713	92100713	100.0
MHW143-RG	0.136575	0.007403787	2197476.0	98952918.0	100.0	90.23431527304733	16.118964778784996	98952918.0	101150394	101150394	100.0
MHW144-RG	0.129815	0.007513804	1709397.0	84274760.0	100.0	89.99410499656125	16.0932086902413	84274760.0	85984157	85984157	100.0
MHW145-RG	0.138955	0.007533152	3599583.0	93019662.0	100.0	79.90343804947389	17.04959861066793	93019662.0	96619245	96619245	100.0
MHW146-RG	0.12626	0.007720046	2068375.0	86572291.0	100.0	90.79530770417061	17.287350059847668	86572291.0	88640666	88640666	100.0
MHW147-RG	0.128636	0.007360965	5522770.0	87982106.0	100.0	78.84439820069777	17.410395927553722	87982106.0	93504876	93504876	100.0
MHW148-RG	0.135372	0.007412038	5775245.0	98854024.0	100.0	79.78115691071919	18.079380359872857	98854024.0	104629269	104629269	100.0
MHW149-RG	0.157793	0.03141399	5644353.0	103039426.0	100.0	84.55696172065245	18.53466070356409	103039426.0	108683779	108683779	100.0
MHW150-RG	0.13455	0.007662326	3018602.0	100184529.0	100.0	89.37012021087607	17.494336875107734	100184529.0	103203131	103203131	100.0
MHW151-RG	0.147979	0.00740319	3553386.0	107024424.0	100.0	86.65490598669328	16.687534800467603	107024424.0	110577810	110577810	100.0
MHW152-RG	0.130059	0.00763501	2151710.0	96185226.0	100.0	91.52560498220382	17.092489859097487	96185226.0	98336936	98336936	100.0
MHW153-RG	0.12616	0.00757625	3260162.0	100294352.0	100.0	88.5876205671083	16.894133779337846	100294352.0	103554514	103554514	100.0
MHW154-RG	0.134206	0.007651979	1875923.0	89699811.0	100.0	92.19632803908584	16.517678058429798	89699811.0	91575734	91575734	100.0
MHW155-RG	0.146981	0.007360465	8175294.0	101542294.0	100.0	75.82459974756922	17.807830892613083	101542294.0	109717588	109717588	100.0
MHW156-RG	0.221012	0.007313622	901457.0	81629282.0	100.0	95.213112373082	15.911302515193015	81629282.0	82530739	82530739	100.0
MHW157-RG	0.209918	0.007218771	997548.0	91505902.0	100.0	95.45261900155904	15.99550376542925	91505902.0	92503450	92503450	100.0
MHW158-RG	0.19809	0.007430113	1281742.0	105502756.0	100.0	95.7892929356272	17.504037524858592	105502756.0	106784498	106784498	100.0
MHW159-RG	0.164921	0.007457171	952664.0	80878119.0	100.0	96.05499603669071	18.68865916626968	80878119.0	81830783	81830783	100.0
MHW160-RG	0.196164	0.007334836	969439.0	83393765.0	100.0	95.46847776929125	15.851941688926024	83393765.0	84363204	84363204	100.0
MHW161-RG	0.185967	0.007426302	995453.0	82692024.0	100.0	95.54310582602258	16.920735910394455	82692024.0	83687477	83687477	100.0
MHW162-RG	0.192397	0.007161842	910486.0	83564544.0	100.0	95.6628591188148	16.166065598347547	83564544.0	84475030	84475030	100.0
MHW163-RG	0.176664	0.007476964	1022696.0	84601078.0	100.0	95.48827498391923	16.80060152425008	84601078.0	85623774	85623774	100.0
MHW164-RG	0.170355	0.007504616	953836.0	78839888.0	100.0	95.63094762387283	16.612217916900136	78839888.0	79793724	79793724	100.0
MHW165-RG	0.174392	0.007152646	954437.0	88664127.0	100.0	95.84659644818925	16.57313560421116	88664127.0	89618564	89618564	100.0
MHW166-RG	0.205026	0.007465271	1146718.0	94754870.0	100.0	95.19499103317855	16.540921854465104	94754870.0	95901588	95901588	100.0
MHW167-RG	0.172322	0.007363013	971350.0	85269411.0	100.0	95.76533840488239	16.143349459749405	85269411.0	86240761	86240761	100.0
MHW168-RG	0.182974	0.00722941	922563.0	82670785.0	100.0	95.56919291379657	16.097213785982557	82670785.0	83593348	83593348	100.0
MHW169-RG	0.163084	0.007325717	900795.0	80088837.0	100.0	95.84744500659936	16.84249703863224	80088837.0	80989632	80989632	100.0
MHW170-RG	0.149444	0.007337642	990983.0	86778844.0	100.0	96.16731239240754	18.206689870171584	86778844.0	87769827	87769827	100.0
MHW171-RG	0.183651	0.007360543	1267054.0	113813179.0	100.0	95.35449141614785	16.114580192861496	113813179.0	115080233	115080233	100.0
MHW172-RG	0.178771	0.007477758	982683.0	80319416.0	100.0	95.51142403724648	16.869638344979997	80319416.0	81302099	81302099	100.0
MHW173-RG	0.191992	0.007313537	921019.0	83360987.0	100.0	95.41380310192345	15.73192145625627	83360987.0	84282006	84282006	100.0
MHW174-RG	0.188999	0.007320455	1007248.0	89854342.0	100.0	95.58563792053589	15.583757766541767	89854342.0	90861590	90861590	100.0
MHW175-RG	0.153947	0.007380143	935938.0	78962116.0	100.0	95.89546207196372	16.72908816172049	78962116.0	79898054	79898054	100.0
MHW176-RG	0.087616	0.007524779	8512431.0	72129705.0	100.0	76.44166297366668	20.39658418123296	72129705.0	80642136	80642136	100.0
MHW177-RG	0.111312	0.007726109	2551207.0	63793196.0	100.0	86.28691059780105	17.490813597111515	63793196.0	66344403	66344403	100.0
MHW178-RG	0.106141	0.007702169	1752603.0	58927811.0	100.0	89.38274323476907	17.136801501077308	58927811.0	60680414	60680414	100.0
MHW179-RG	0.116818	0.007775402	2289249.0	61759084.0	100.0	86.61217838010681	17.856628184446517	61759084.0	64048333	64048333	100.0
MHW180-RG	0.126678	0.007609374	4021169.0	65144350.0	100.0	79.26357082387038	17.886843601939386	65144350.0	69165519	69165519	100.0
MHW181-RG	0.113711	0.007230812	4064341.0	58033550.0	100.0	81.48455160850922	18.43973529105147	58033550.0	62097891	62097891	100.0
MHW182-RG	0.126312	0.007573872	1660677.0	71379378.0	100.0	91.17090653269632	16.85878237829419	71379378.0	73040055	73040055	100.0
MHW183-RG	0.13484	0.007433009	4260629.0	70826396.0	100.0	81.78213388127217	18.046821131488887	70826396.0	75087025	75087025	100.0
MHW184-RG	0.130028	0.00733276	4027865.0	69605907.0	100.0	82.13800877560578	17.83886962352204	69605907.0	73633772	73633772	100.0
MHW185-RG	0.108522	0.00736818	1552083.0	60012797.0	100.0	91.29679124937303	17.44769869666298	60012797.0	61564880	61564880	100.0
