Collection year,DNA sample date,DNA sample time,Genetics ID,Sample ID,"Alternate ID 
(from collection)",DNA Plate #,Plate Location,Plate # - Location,Row (letter),Column (number),Qubit Concentration (ng/ul),Volume DNA remaining,Total DNA available (ng),Quantity in 190 uL,Vol. to send to Azenta,"Gel results 
(if available)",Fish Collection Date,Bay,Site,Total Length (mm),Wet Weight,Notes,"Wet weight w/o ""ice plug"""
2014,01/15/2025,11:10 AM,136,MHW136,NA,2,D8,Plate 2-D8,D,8,22.2,380,"8,436","4,220",190,,7/16/14,ALB,Cobble Pt. Bag 1,49,0.49,,
2014,01/15/2025,,137,MHW137,NA,2,E8,Plate 2-E8,E,8,26.2,380,"9,956","4,980",190,,7/16/14,ALB,Cobble Pt. Bag 1,69,2.39,,
2014,01/15/2025,,138,MHW138,NA,2,F8,Plate 2-F8,F,8,27.8,380,"10,564","5,280",190,,7/16/14,ALB,Cobble Pt. Bag 1,60,1.6,,
2014,01/15/2025,,139,MHW139,NA,2,G8,Plate 2-G8,G,8,39,380,"14,820","7,410",190,,7/16/14,ALB,Cobble Pt. Bag 1,55,0.93,,
2014,01/15/2025,,140,MHW140,NA,2,H8,Plate 2-H8,H,8,24.2,380,"9,196","4,600",190,,7/16/14,ALB,Cobble Pt. Bag 1,59,1.41,,
2014,01/15/2025,,141,MHW141,NA,2,A9,Plate 2-A9,A,9,22,380,"8,360","4,180",190,good,7/16/14,ALB,Cobble Pt. Bag 1,59,1.34,,
2014,01/15/2025,,142,MHW142,NA,2,B9,Plate 2-B9,B,9,14.7,380,"5,586","2,790",190,,7/16/14,ALB,Cobble Pt. Bag 1,62,1.66,,
2014,01/15/2025,,143,MHW143,NA,2,C9,Plate 2-C9,C,9,16.6,380,"6,308","3,150",190,,7/16/14,ALB,Cobble Pt. Bag 1,50,0.77,,
2014,01/15/2025,,144,MHW144,NA,2,D9,Plate 2-D9,D,9,32.4,380,"12,312","6,160",190,,7/16/14,ALB,Cobble Pt. Bag 1,60,1.25,,
2014,01/15/2025,12:50 PM,145,MHW145,NA,2,E9,Plate 2-E9,E,9,51.2,380,"19,456","9,730",190,,7/16/14,ALB,Cobble Pt. Bag 1,58,1.3,,
2014,01/15/2025,,146,MHW146,NA,2,F9,Plate 2-F9,F,9,37.6,380,"14,288","7,140",190,,7/16/14,ALB,Cobble Pt. Bag 2,52,0.94,,
2014,01/15/2025,,147,MHW147,NA,2,G9,Plate 2-G9,G,9,36.2,380,"13,756","6,880",190,,7/16/14,ALB,Cobble Pt. Bag 2,48,0.62,,
2014,01/15/2025,,148,MHW148,NA,2,H9,Plate 2-H9,H,9,35.2,380,"13,376","6,690",190,,7/16/14,ALB,Cobble Pt. Bag 2,53,1.03,,
2014,01/15/2025,,149,MHW149,NA,2,A10,Plate 2-A10,A,10,17.7,380,"6,726","3,360",190,good,7/16/14,ALB,Cobble Pt. Bag 2,62,1.53,,
2014,01/15/2025,,150,MHW150,NA,2,B10,Plate 2-B10,B,10,29.2,380,"11,096","5,550",190,,7/16/14,ALB,Cobble Pt. Bag 2,55,1.14,,
2014,01/15/2025,,151,MHW151,NA,2,C10,Plate 2-C10,C,10,28,380,"10,640","5,320",190,,7/16/14,ALB,Cobble Pt. Bag 2,47,0.77,,
2014,01/15/2025,,152,MHW152,NA,2,D10,Plate 2-D10,D,10,40.6,380,"15,428","7,710",190,,7/16/14,ALB,Cobble Pt. Bag 2,57,1.35,,
2014,01/15/2025,,153,MHW153,NA,2,E10,Plate 2-E10,E,10,37,380,"14,060","7,030",190,,7/16/14,ALB,Cobble Pt. Bag 2,61,1.94,,
2014,01/15/2025,1:15 PM,154,MHW154,NA,2,F10,Plate 2-F10,F,10,23,380,"8,740","4,370",190,,7/16/14,ALB,Cobble Pt. Bag 2,45,0.7,,
2014,01/15/2025,,155,MHW155,NA,2,G10,Plate 2-G10,G,10,28.2,380,"10,716","5,360",190,,7/16/14,ALB,Cobble Pt. Bag 2,53,1.01,,
2013,01/14/2025,,024,MHW024,NA,2,H10,Plate 2-H10,H,10,5.58,380,"2,120","1,060",190,,7/23/13,ALB,Eelgrass Pt.,48,0.33,,
2013,01/14/2025,,025,MHW025,NA,2,A11,Plate 2-A11,A,11,6.52,380,"2,478","1,240",190,not good,7/23/13,ALB,Eelgrass Pt.,50,0.6,,
2013,01/14/2025,,026,MHW026,NA,2,B11,Plate 2-B11,B,11,8.08,380,"3,070","1,540",190,,7/23/13,ALB,Eelgrass Pt.,44,0.43,,
2013,01/14/2025,,027,MHW027,NA,2,C11,Plate 2-C11,C,11,3.46,380,"1,315",660,380,692,7/23/13,ALB,Eelgrass Pt.,40,0.28,,
2013,01/14/2025,,028,MHW028,NA,2,D11,Plate 2-D11,D,11,10.7,380,"4,066","2,030",190,,7/23/13,ALB,Eelgrass Pt.,52,0.6,,
2013,01/14/2025,,029,MHW029,NA,2,E11,Plate 2-E11,E,11,5.24,380,"1,991","1,000",190,,7/23/13,ALB,Eelgrass Pt.,41,0.32,,
2013,01/14/2025,,030,MHW030,NA,2,F11,Plate 2-F11,F,11,8.3,380,"3,154","1,580",190,,7/23/13,ALB,Eelgrass Pt.,45,0.43,,
2013,01/14/2025,,031,MHW031,NA,2,G11,Plate 2-G11,G,11,7.36,380,"2,797","1,400",190,,7/23/13,ALB,Eelgrass Pt.,45,0.41,,
2013,01/14/2025,,032,MHW032,NA,2,H11,Plate 2-H11,H,11,21.8,380,"8,284","4,140",190,,7/23/13,ALB,Eelgrass Pt.,47,0.65,,
2013,01/14/2025,1:20 PM,033,MHW033,NA,2,A12,Plate 2-A12,A,12,13.5,380,"5,130","2,570",190,good,7/23/13,ALB,Eelgrass Pt.,52,0.92,,
2013,01/14/2025,,034,MHW034,NA,2,B12,Plate 2-B12,B,12,12.6,380,"4,788","2,390",190,,7/23/13,ALB,Eelgrass Pt.,52,1.18,,
2013,01/14/2025,,035,MHW035,NA,2,C12,Plate 2-C12,C,12,20.2,380,"7,676","3,840",190,,7/23/13,ALB,Eelgrass Pt.,52,1.01,,
2013,01/14/2025,,036,MHW036,NA,2,D12,Plate 2-D12,D,12,30.6,380,"11,628","5,810",190,,7/23/13,ALB,Eelgrass Pt.,46,0.54,,
2013,01/14/2025,,037,MHW037,NA,2,E12,Plate 2-E12,E,12,28.8,380,"10,944","5,470",190,,7/23/13,ALB,Eelgrass Pt.,55,1.31,,
2013,01/14/2025,,038,MHW038,NA,2,F12,Plate 2-F12,F,12,22.4,380,"8,512","4,260",190,,7/23/13,ALB,Eelgrass Pt.,50,1.05,,
2013,01/14/2025,,039,MHW039,NA,2,G12,Plate 2-G12,G,12,27.8,380,"10,564","5,280",190,,7/23/13,ALB,Eelgrass Pt.,49,0.98,,
2013,01/14/2025,,040,MHW040,NA,2,H12,Plate 2-H12,H,12,30,380,"11,400","5,700",190,,7/23/13,ALB,Eelgrass Pt.,38,0.44,,
2013,01/14/2025,,041,MHW041,NA,3,A1,Plate 3-A1,A,1,14.2,380,"5,396","2,700",190,okay,7/23/13,ALB,Eelgrass Pt.,39,0.42,,
2013,01/14/2025,1:40 PM,042,MHW042,NA,3,B1,Plate 3-B1,B,1,19.9,380,"7,562","3,780",190,,7/23/13,ALB,Eelgrass Pt.,51,1.03,,
2013,01/14/2025,,043,MHW043,NA,3,C1,Plate 3-C1,C,1,15.8,380,"6,004","3,000",190,,7/23/13,ALB,Eelgrass Pt.,39,0.49,,
2013,01/14/2025,,044,MHW044,NA,3,D1,Plate 3-D1,D,1,15.4,380,"5,852","2,930",190,,7/23/13,ALB,Eelgrass Pt.,48,0.77,,
2013,01/14/2025,1:55 PM,045,MHW045,NA,3,E1,Plate 3-E1,E,1,21.8,380,"8,284","4,140",190,,7/23/13,ALB,Eelgrass Pt.,46,0.7,,
2013,01/14/2025,,046,MHW046,NA,3,F1,Plate 3-F1,F,1,15.3,380,"5,814","2,910",190,,7/23/13,ALB,Eelgrass Pt.,46,0.73,,
2008,01/15/2025,,120,MHW120,NA,3,G1,Plate 3-G1,G,1,10.8,380,"4,104","2,050",190,,7/14/08,ALB,Eelgrass Patches,48,0.54,,
2008,01/15/2025,,121,MHW121,NA,3,H1,Plate 3-H1,H,1,20.4,380,"7,752","3,880",190,,7/14/08,ALB,Eelgrass Patches,43,0.52,,
2008,01/15/2025,,122,MHW122,NA,3,A2,Plate 3-A2,A,2,14.8,380,"5,624","2,810",190,not good,7/14/08,ALB,Eelgrass Patches,44,0.65,,
2008,01/15/2025,,123,MHW123,NA,3,B2,Plate 3-B2,B,2,13.8,380,"5,244","2,620",190,,7/14/08,ALB,Eelgrass Patches,39,0.43,,
2008,01/15/2025,,124,MHW124,NA,3,C2,Plate 3-C2,C,2,6.52,380,"2,478","1,240",190,,7/14/08,ALB,Eelgrass Patches,43,0.48,,
2008,01/15/2025,,125,MHW125,NA,3,D2,Plate 3-D2,D,2,17.1,380,"6,498","3,250",190,,7/14/08,ALB,Eelgrass Patches,45,0.69,,
2008,01/15/2025,,126,MHW126,NA,3,E2,Plate 3-E2,E,2,10.1,380,"3,838","1,920",190,,7/14/08,ALB,Eelgrass Patches,39,0.34,,
2008,01/15/2025,,127,MHW127,NA,3,F2,Plate 3-F2,F,2,9.06,380,"3,443","1,720",190,,7/14/08,ALB,Eelgrass Patches,29,0.15,,
2008,01/15/2025,,128,MHW128,NA,3,G2,Plate 3-G2,G,2,31.4,380,"11,932","5,970",190,,7/14/08,ALB,Eelgrass Patches,49,0.66,,
2008,01/15/2025,,129,MHW129,NA,3,H2,Plate 3-H2,H,2,22.8,380,"8,664","4,330",190,,7/14/08,ALB,Eelgrass Patches,48,0.73,,
2008,01/15/2025,,130,MHW130,NA,3,A3,Plate 3-A3,A,3,13.7,380,"5,206","2,600",190,not good,7/14/08,ALB,Eelgrass Patches,40,0.32,,
2008,01/15/2025,,131,MHW131,NA,3,B3,Plate 3-B3,B,3,9.62,380,"3,656","1,830",190,,7/14/08,ALB,Eelgrass Patches,47,0.62,,
2008,01/15/2025,,132,MHW132,NA,3,C3,Plate 3-C3,C,3,13,380,"4,940","2,470",190,,7/14/08,ALB,Eelgrass Patches,36,0.27,,
2008,01/15/2025,,133,MHW133,NA,3,D3,Plate 3-D3,D,3,20.6,380,"7,828","3,910",190,,7/14/08,ALB,Eelgrass Patches,44,0.45,,
2008,01/15/2025,,134,MHW134,NA,3,E3,Plate 3-E3,E,3,23.8,380,"9,044","4,520",190,,7/14/08,ALB,Eelgrass Patches,50,0.52,,
2008,01/15/2025,10:50 AM,135,MHW135,NA,3,F3,Plate 3-F3,F,3,6.3,380,"2,394","1,200",190,,7/14/08,ALB,Eelgrass Patches,42,0.4,,
2022,1/16/2025,,263,MHW263,BL3548,3,G3,Plate 3-G3,G,3,24.8,380,"9,424","4,710",190,,7/13/2022,ALB,Eelgrass Patches,39,0.3653,stats collected when caught,
2022,1/16/2025,,265,MHW265,BL3524,3,H3,Plate 3-H3,H,3,24.8,380,"9,424","4,710",190,,7/14/2022,ALB,Back Bay Eelgrass,75,3.834,stats collected when caught,
2022,1/16/2025,,267,MHW267,BL3538,3,A4,Plate 3-A4,A,4,24.8,380,"9,424","4,710",190,okay,7/12/2022,ALB,Cobble Point Bare,34,0.2965,stats collected when caught,
2022,1/16/2025,,268,MHW268,BL3529,3,B4,Plate 3-B4,B,4,35.2,380,"13,376","6,690",190,,7/13/2022,ALB,Eelgrass Patches,55,1.2203,stats collected when caught,
2022,1/16/2025,,269,MHW269,BL3537,3,C4,Plate 3-C4,C,4,48.8,380,"18,544","9,270",190,,7/12/2022,ALB,Cobble Point,41,0.519,stats collected when caught,
2022,1/16/2025,,270,MHW270,BL3535,3,D4,Plate 3-D4,D,4,19.7,380,"7,486","3,740",190,,7/13/2022,ALB,Eelgrass Patches,34,0.2146,stats collected when caught,
2022,1/16/2025,,271,MHW271,BL3531,3,E4,Plate 3-E4,E,4,17.7,380,"6,726","3,360",190,,7/13/2022,ALB,Eelgrass Patches,58,1.5133,stats collected when caught,
2022,1/16/2025,,279,MHW279,BL3539,3,E4,Plate 3-E4,E,4,38.4,380,"14,592","7,300",190,,7/12/2022,ALB,Cobble Point,42,0.6856,stats collected when caught,
2022,1/16/2025,,272,MHW272,BL3525,3,F4,Plate 3-F4,F,4,24.2,380,"9,196","4,600",190,,7/14/2022,ALB,Back Bay Eelgrass,77,3.6852,stats collected when caught,
2022,1/16/2025,,273,MHW273,BL3517,3,G4,Plate 3-G4,G,4,36,380,"13,680","6,840",190,,7/14/2022,ALB,Laminaria #1,61,1.7452,stats collected when caught,
2022,1/16/2025,,274,MHW274,BL3523,3,H4,Plate 3-H4,H,4,46.6,380,"17,708","8,850",190,,7/14/2022,ALB,Eelgrass Patches,47,0.7689,stats collected when caught,
2022,1/16/2025,,275,MHW275,BL3527,3,A5,Plate 3-A5,A,5,18.2,380,"6,916","3,460",190,okay,7/13/2022,ALB,Eelgrass Patches,48,0.7309,stats collected when caught,
2022,1/16/2025,,276,MHW276,BL3536,3,B5,Plate 3-B5,B,5,19.4,380,"7,372","3,690",190,,7/12/2022,ALB,Cobble Point,40,0.4482,stats collected when caught,
2022,1/16/2025,,277,MHW277,BL3519,3,C5,Plate 3-C5,C,5,36.4,380,"13,832","6,920",190,,7/14/2022,ALB,Laminaria Point,46,0.8554,stats collected when caught,
2022,1/16/2025,,278,MHW278,BL3521,3,D5,Plate 3-D5,D,5,52.6,380,"19,988","9,990",190,,7/14/2022,ALB,Laminaria Point,65,2.4539,stats collected when caught,
2022,1/16/2025,,280,MHW280,BL3520,3,F5,Plate 3-F5,F,5,31.8,380,"12,084","6,040",190,,7/14/2022,ALB,Laminaria Point,49,0.9408,stats collected when caught,
2022,1/16/2025,,281,MHW281,BL3522,3,G5,Plate 3-G5,G,5,29.4,380,"11,172","5,590",190,,7/14/2022,ALB,Laminaria Point,66,2.2672,stats collected when caught,
2022,1/16/2025,,282,MHW282,BL3540,3,H5,Plate 3-H5,H,5,11,380,"4,180","2,090",190,,7/13/2022,ALB,Eelgrass Patches,40,0.4383,stats collected when caught,
2022,1/16/2025,,283,MHW283,BL3526,3,A6,Plate 3-A6,A,6,12.6,380,"4,788","2,390",190,okay,7/14/2022,ALB,Eelgrass Patches,36,0.3232,stats collected when caught,
2022,1/16/2025,,284,MHW284,BL3532,3,B6,Plate 3-B6,B,6,38.6,380,"14,668","7,330",190,,7/13/2022,ALB,Eelgrass Patches,43,0.5564,stats collected when caught,
2022,1/16/2025,,285,MHW285,BL3516,3,C6,Plate 3-C6,C,6,22.6,380,"8,588","4,290",190,,7/14/2022,ALB,Laminaria #1,75,3.4408,"stats collected when caught, total length not collected, estimated from standardl length (standard length was 71)",
2022,1/16/2025,,286,MHW286,BL3518,3,D6,Plate 3-D6,D,6,26.2,380,"9,956","4,980",190,,7/14/2022,ALB,Laminaria Point,59,1.7084,stats collected when caught,
2022,1/16/2025,,287,MHW287,BL3533,3,E6,Plate 3-E6,E,6,25.6,380,"9,728","4,860",190,,7/13/2022,ALB,Eelgrass Patches,36,0.3255,stats collected when caught,
2022,1/16/2025,,288,MHW288,BL3534,3,F6,Plate 3-F6,F,6,26,380,"9,880","4,940",190,,7/12/2022,ALB,Cobble Point,46,0.7691,stats collected when caught,
2019,01/15/2025,,186,MHW186,NA,3,G6,Plate 3-G6,G,6,20.6,380,"7,828","3,910",190,,7/13/19,ALB,Eelgrass Pt Bag 4,56,1.5,,
2019,01/15/2025,,187,MHW187,NA,3,H6,Plate 3-H6,H,6,17.4,380,"6,612","3,310",190,,7/13/19,ALB,Eelgrass Pt Bag 4,48,0.81,,
2019,01/15/2025,,188,MHW188,NA,3,A7,Plate 3-A7,A,7,11.5,380,"4,370","2,190",190,light,7/13/19,ALB,Eelgrass Pt Bag 4,47,0.69,,
2019,01/15/2025,,189,MHW189,NA,3,B7,Plate 3-B7,B,7,20.6,380,"7,828","3,910",190,,7/13/19,ALB,Eelgrass Pt Bag 4,47,0.82,,
2019,01/15/2025,,190,MHW190,NA,3,C7,Plate 3-C7,C,7,35,380,"13,300","6,650",190,,7/13/19,ALB,Eelgrass Pt Bag 4,69,2.98,,
2019,01/15/2025,,191,MHW191,NA,3,D7,Plate 3-D7,D,7,17.8,380,"6,764","3,380",190,,7/13/19,ALB,Eelgrass Pt Bag 4,52,1.11,,
2019,01/15/2025,,192,MHW192,NA,3,E7,Plate 3-E7,E,7,23.4,380,"8,892","4,450",190,,7/13/19,ALB,Eelgrass Pt Bag 4,54,1.15,,
2019,01/15/2025,,193,MHW193,NA,3,F7,Plate 3-F7,F,7,28.2,380,"10,716","5,360",190,,7/13/19,ALB,Eelgrass Pt Bag 4,57,1.34,,
2019,01/15/2025,,194,MHW194,NA,3,G7,Plate 3-G7,G,7,42.2,380,"16,036","8,020",190,,7/13/19,ALB,Eelgrass Pt Bag 4,52,1.22,,
2019,01/15/2025,,195,MHW195,NA,3,H7,Plate 3-H7,H,7,18.9,380,"7,182","3,590",190,,7/13/19,ALB,Eelgrass Pt Bag 4,46,0.68,,
2016,01/15/2025,,219,MHW219,NA,3,A8,Plate 3-A8,A,8,24.2,380,"9,196","4,600",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",66,2.35,,
2016,01/15/2025,,220,MHW220,NA,3,B8,Plate 3-B8,B,8,32.6,380,"12,388","6,190",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",72,2.73,,2.59
2016,01/15/2025,,221,MHW221,NA,3,C8,Plate 3-C8,C,8,33.4,380,"12,692","6,350",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",80,4.23,,3.86
2016,01/15/2025,,222,MHW222,NA,3,D8,Plate 3-D8,D,8,21.4,380,"8,132","4,070",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",64,1.94,,1.71
2016,01/15/2025,,223,MHW223,NA,3,E8,Plate 3-E8,E,8,26.4,380,"10,032","5,020",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",66,2.29,,2.21
2016,01/15/2025,,224,MHW224,NA,3,F8,Plate 3-F8,F,8,18.2,380,"6,916","3,460",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",61,1.73,,
2016,01/15/2025,,225,MHW225,NA,3,G8,Plate 3-G8,G,8,23.2,380,"8,816","4,410",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",79,4.15,,4.04
2016,01/15/2025,,226,MHW226,NA,3,H8,Plate 3-H8,H,8,33.2,380,"12,616","6,310",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",72,2.79,,
2016,01/15/2025,,227,MHW227,NA,3,A9,Plate 3-A9,A,9,24.2,380,"9,196","4,600",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",71,2.6,,
2016,01/15/2025,,228,MHW228,NA,3,B9,Plate 3-B9,B,9,27.2,380,"10,336","5,170",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",72,3.27,,
2016,01/15/2025,,229,MHW229,NA,3,C9,Plate 3-C9,C,9,26.6,380,"10,108","5,050",190,,7/17/16,ALB,"Extra site around point from eelgrass patches, bag 2",70,3.19,,2.85
2016,01/15/2025,,230,MHW230,NA,3,D9,Plate 3-D9,D,9,16.1,380,"6,118","3,060",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,63,1.74,,
2016,01/15/2025,4:50 PM,231,MHW231,NA,3,E9,Plate 3-E9,E,9,40.4,380,"15,352","7,680",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,58,1.7,,
2016,01/15/2025,,232,MHW232,NA,3,F9,Plate 3-F9,F,9,24.2,380,"9,196","4,600",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,66,2.01,,
2016,01/15/2025,,233,MHW233,NA,3,G9,Plate 3-G9,G,9,14.2,380,"5,396","2,700",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,60,1.43,,
2016,01/15/2025,,234,MHW234,NA,3,H9,Plate 3-H9,H,9,59.8,380,"22,724","11,360",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,72,3.38,,
2016,01/15/2025,,235,MHW235,NA,3,A10,Plate 3-A10,A,10,13.7,380,"5,206","2,600",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,60,1.89,,
2016,01/15/2025,,236,MHW236,NA,3,B10,Plate 3-B10,B,10,16.2,380,"6,156","3,080",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,58,1.32,,1.22
2016,01/15/2025,,237,MHW237,NA,3,C10,Plate 3-C10,C,10,15.2,380,"5,776","2,890",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,75,3.22,,3.05
2016,01/15/2025,,238,MHW238,NA,3,D10,Plate 3-D10,D,10,17,380,"6,460","3,230",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,69,2.12,,
2016,01/15/2025,,239,MHW239,NA,3,E10,Plate 3-E10,E,10,40.6,380,"15,428","7,710",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,70,2.48,,
2016,01/15/2025,,240,MHW240,NA,3,F10,Plate 3-F10,F,10,20.2,380,"7,676","3,840",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,83,5.04,,4.57
2016,01/15/2025,5:13 PM,241,MHW241,NA,3,G10,Plate 3-G10,G,10,25,380,"9,500","4,750",190,,7/17/16,ALB,New eelgrass site - around corner from eelgrass patches,73,3.3,,3.02
2023,1/16/2025,,312,MHW312,BL3191,3,H10,Plate 3-H10,H,10,18.8,380,"7,144","3,570",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,313,MHW313,BL3190,3,A11,Plate 3-A11,A,11,37.2,380,"14,136","7,070",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,314,MHW314,BL3189,3,B11,Plate 3-B11,B,11,44.8,380,"17,024","8,510",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,322,MHW322,,3,B11,Plate 3-B11,B,11,24.2,380,"9,196","4,600",190,,7/17/23,ALB,EG Patches,28,0.15,additional fish 2023,
2023,1/16/2025,,315,MHW315,BL3194,3,C11,Plate 3-C11,C,11,46.4,380,"17,632","8,820",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,316,MHW316,BL3195,3,D11,Plate 3-D11,D,11,15.5,380,"5,890","2,950",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,317,MHW317,BL3193,3,E11,Plate 3-E11,E,11,49.4,380,"18,772","9,390",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,325,MHW325,,3,E11,Plate 3-E11,E,11,11.4,380,"4,332","2,170",190,,7/17/23,ALB,BB Eelgrass,77,4.06,additional fish 2023,
2023,1/16/2025,,318,MHW318,BL3198,3,F11,Plate 3-F11,F,11,4.62,380,"1,756",880,190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,319,MHW319,BL3197,3,G11,Plate 3-G11,G,11,15.5,380,"5,890","2,950",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,320,MHW320,BL3196,3,H11,Plate 3-H11,H,11,11.6,380,"4,408","2,200",190,,7/15/23,ALB,,,,stats collected when caught,
2023,1/16/2025,,321,MHW321,,3,A12,Plate 3-A12,A,12,9.52,380,"3,618","1,810",190,,7/17/23,ALB,Cobble Pt,30,0.2,additional fish 2023,
2023,1/16/2025,,323,MHW323,,3,C12,Plate 3-C12,C,12,13.7,380,"5,206","2,600",190,,7/17/23,ALB,EG Patches,44,0.65,additional fish 2023,
2023,1/16/2025,,324,MHW324,,3,D12,Plate 3-D12,D,12,17.7,380,"6,726","3,360",190,,7/17/23,ALB,EG Patches,39,0.53,additional fish 2023,
2023,1/16/2025,,326,MHW326,,3,F12,Plate 3-F12,F,12,18.3,380,"6,954","3,480",190,,7/17/23,ALB,BB Eelgrass,71,3.25,additional fish 2023,
2023,1/16/2025,,327,MHW327,,3,G12,Plate 3-G12,G,12,36.8,380,"13,984","6,990",190,,7/17/23,ALB,Lam North,42,0.55,additional fish 2023,
2023,1/16/2025,,328,MHW328,,3,H12,Plate 3-H12,H,12,32.2,380,"12,236","6,120",190,,7/17/23,ALB,Lam North,44,0.51,,
2023,1/16/2025,,329,MHW329,,4,A1,Plate 4-A1,A,1,34.6,380,"13,148","6,570",190,,7/17/23,ALB,Lam North,53,1.27,,
2023,1/16/2025,,330,MHW330,,4,B1,Plate 4-B1,B,1,18.5,380,"7,030","3,520",190,,7/17/23,ALB,Lam North,26,0.1,,
2023,1/16/2025,,331,MHW331,,4,C1,Plate 4-C1,C,1,36.8,380,"13,984","6,990",190,,7/17/23,ALB,Lam North,35,0.29,,
2023,1/16/2025,,332,MHW332,,4,D1,Plate 4-D1,D,1,26.2,380,"9,956","4,980",190,,7/17/23,ALB,Eelgrass pt,59,1.46,pink color,
2023,1/16/2025,,333,MHW333,,4,E1,Plate 4-E1,E,1,25,380,"9,500","4,750",190,,7/17/23,ALB,Eelgrass pt,62,2.26,,
2023,1/16/2025,,334,MHW334,,4,F1,Plate 4-F1,F,1,33.4,380,"12,692","6,350",190,,7/17/23,ALB,Eelgrass pt,38,0.4,kind of pink,
2014,01/15/2025,,156,MHW156,NA,4,G1,Plate 4-G1,G,1,20.2,380,"7,676","3,840",190,,7/16/14,ALB,Lam Pt Bag 1,56,1.27,,
2014,01/15/2025,,157,MHW157,NA,4,H1,Plate 4-H1,H,1,25.4,380,"9,652","4,830",190,,7/16/14,ALB,Lam Pt Bag 1,44,0.52,,
2014,01/15/2025,,158,MHW158,NA,4,A2,Plate 4-A2,A,2,27,380,"10,260","5,130",190,,7/16/14,ALB,Lam Pt Bag 1,52,0.93,,
2014,01/15/2025,,159,MHW159,NA,4,B2,Plate 4-B2,B,2,24,380,"9,120","4,560",190,,7/16/14,ALB,Lam Pt Bag 1,57,1.42,,
2014,01/15/2025,,160,MHW160,NA,4,C2,Plate 4-C2,C,2,37.4,380,"14,212","7,110",190,,7/16/14,ALB,Lam Pt Bag 1,46,0.74,,
2014,01/15/2025,,161,MHW161,NA,4,D2,Plate 4-D2,D,2,31.4,380,"11,932","5,970",190,,7/16/14,ALB,Lam Pt Bag 1,47,0.73,red/orange in color,
2014,01/15/2025,,162,MHW162,NA,4,E2,Plate 4-E2,E,2,41.8,380,"15,884","7,940",190,,7/16/14,ALB,Lam Pt Bag 1,63,1.65,,
2014,01/15/2025,,163,MHW163,NA,4,F2,Plate 4-F2,F,2,26.8,380,"10,184","5,090",190,,7/16/14,ALB,Lam Pt Bag 2,45,0.57,,
2014,01/15/2025,,164,MHW164,NA,4,G2,Plate 4-G2,G,2,37.2,380,"14,136","7,070",190,,7/16/14,ALB,Lam Pt Bag 2,56,1.33,,
2014,01/15/2025,,165,MHW165,NA,4,H2,Plate 4-H2,H,2,36,380,"13,680","6,840",190,,7/16/14,ALB,Lam Pt Bag 2,52,1.17,,
2014,01/15/2025,,166,MHW166,NA,4,A3,Plate 4-A3,A,3,25.4,380,"9,652","4,830",190,,7/16/14,ALB,Lam Pt Bag 2,50,0.58,,
2014,01/15/2025,,167,MHW167,NA,4,B3,Plate 4-B3,B,3,35,380,"13,300","6,650",190,,7/16/14,ALB,Lam Pt Bag 2,56,0.93,,
2014,01/15/2025,,168,MHW168,NA,4,C3,Plate 4-C3,C,3,38.4,380,"14,592","7,300",190,,7/16/14,ALB,Lam Pt Bag 2,55,1.03,,
2014,01/15/2025,,169,MHW169,NA,4,D3,Plate 4-D3,D,3,40.8,380,"15,504","7,750",190,,7/16/14,ALB,Lam Pt Bag 2,58,1.23,,
2014,01/15/2025,,170,MHW170,NA,4,E3,Plate 4-E3,E,3,34.6,380,"13,148","6,570",190,,7/16/14,ALB,Lam Pt Bag 2,49,0.88,,
