Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
21.flexbar_trim.R_2	70.63826384797207	49.0	145.29039479705162	150	18.181818181818183	16202198.0
28.flexbar_trim.R_1	69.90887605058427	48.0	144.24768543957597	150	18.181818181818183	17689320.0
28.flexbar_trim.R_2	71.78028710958354	50.0	144.38963114466807	150	27.27272727272727	17689320.0
29.flexbar_trim.R_1	69.80827985709145	48.0	144.2753377285698	150	18.181818181818183	17546117.0
29.flexbar_trim.R_2	70.78578943935923	50.0	144.40124450327102	150	9.090909090909092	17546117.0
3.flexbar_trim.R_1	70.75222091147197	49.0	141.2184621777631	150	18.181818181818183	19136269.0
3.flexbar_trim.R_2	72.47275716114491	50.0	141.4441239303231	150	18.181818181818183	19136269.0
30.flexbar_trim.R_1	67.2019733098387	47.0	144.4164326511095	150	9.090909090909092	18428262.0
30.flexbar_trim.R_2	68.98099994131904	49.0	144.56306357050926	150	9.090909090909092	18428262.0
31.flexbar_trim.R_1	66.86836122085947	49.0	146.8960207476586	150	27.27272727272727	17724988.0
31.flexbar_trim.R_2	69.38462365151523	51.0	146.94839658001462	150	18.181818181818183	17724988.0
37.flexbar_trim.R_1	68.74365150787062	44.0	142.06957317991618	150	27.27272727272727	15243144.0
37.flexbar_trim.R_2	70.51255947417934	46.0	142.31058717282997	150	18.181818181818183	15243144.0
38.flexbar_trim.R_1	70.34028435809192	46.0	140.1865694924085	150	27.27272727272727	17036199.0
38.flexbar_trim.R_2	72.20017651585607	48.0	140.43598193470268	150	27.27272727272727	17036199.0
39.flexbar_trim.R_1	71.51826657103527	45.0	142.94610717559786	150	27.27272727272727	16828103.0
39.flexbar_trim.R_2	73.34134581705077	46.0	143.12771510847062	150	27.27272727272727	16828103.0
4.flexbar_trim.R_1	70.78816992465251	48.0	147.2845932698543	150	18.181818181818183	19447157.0
4.flexbar_trim.R_2	72.39620030551404	51.0	147.34659780861543	150	18.181818181818183	19447157.0
40.flexbar_trim.R_1	72.99479673353349	45.0	140.8827361303271	150	36.36363636363637	15520211.0
40.flexbar_trim.R_2	74.46873819250325	48.0	141.12603469115209	150	45.45454545454545	15520211.0
41.flexbar_trim.R_1	72.67216328717156	46.0	140.75997462379166	150	36.36363636363637	15181149.0
41.flexbar_trim.R_2	73.7315189813135	49.0	141.0052021095373	150	36.36363636363637	15181149.0
47.flexbar_trim.R_1	69.17007481832516	46.0	141.9890324934231	150	18.181818181818183	17272203.0
47.flexbar_trim.R_2	71.03064899750484	48.0	142.20673078008636	150	27.27272727272727	17272203.0
48.flexbar_trim.R_1	75.43853532157601	45.0	140.40933352450162	150	27.27272727272727	18761830.0
48.flexbar_trim.R_2	77.34172978069817	47.0	140.70439749214228	150	18.181818181818183	18761830.0
49.flexbar_trim.R_1	66.99591727937923	45.0	143.36528656587836	150	27.27272727272727	18706798.0
49.flexbar_trim.R_2	67.90452960523626	47.0	143.54340074661627	150	27.27272727272727	18706798.0
5.flexbar_trim.R_1	70.41370657206693	47.0	144.35678958948114	150	18.181818181818183	18540171.0
5.flexbar_trim.R_2	72.69848789970769	49.0	144.49635691062397	150	27.27272727272727	18540171.0
50.flexbar_trim.R_1	65.21398135165227	47.0	144.31673824650392	150	18.181818181818183	17664425.0
50.flexbar_trim.R_2	67.01953248425328	49.0	144.5060562118495	150	9.090909090909092	17664425.0
57-G.flexbar_trim.R_1	51.19276907271522	47.0	142.82480516584565	150	9.090909090909092	26705405.0
